areapermisoconcesion,codigodesesco,empresa_informante,participacion,geojson
VETA ESCONDIDA,VET,PAMPA ENERGIA S.A.,<br> PAMPA ENERGIA S.A.: 55 %<br> TOTAL AUSTRAL S.A.: 45 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4802856445312,-37.7971801757812],[-68.4796752929688,-37.889892578125],[-68.4968872070312,-37.898193359375],[-68.6524047851562,-37.8988037109375],[-68.6469116210938,-37.8609008789062],[-68.647216796875,-37.7979125976562],[-68.4802856445312,-37.7971801757812]]]]}"
RINCON DE ARANDA,RDA,PAMPA ENERGIA S.A.,<br> PAMPA ENERGIA S.A.: 55 %<br> TOTAL AUSTRAL S.A.: 45 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4968872070312,-37.898193359375],[-68.5419921875,-37.9199829101562],[-68.4144897460938,-38.0402221679688],[-68.6574096679688,-38.0410766601562],[-68.6578979492188,-37.9375],[-68.6524047851562,-37.8988037109375],[-68.4968872070312,-37.898193359375]]]]}"
SIERRA CHATA,SICH,PAMPA ENERGIA S.A.,<br> MOBIL ARGENTINA S.A.: 54.45 %<br> PAMPA ENERGIA S.A.: 45.55 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.2381014854832,-37.9603251076899],[-69.2382235557957,-37.9963969982376],[-69.2269320518895,-37.9963969982375],[-69.2269320518895,-38.0233746220232],[-69.1699862511083,-38.0234966927191],[-69.1699862511083,-38.0415021203874],[-69.1132235557959,-38.0413800496912],[-69.1132845909523,-38.185789683946],[-69.1704134972021,-38.1856065779],[-69.5460238487641,-38.1845079416239],[-69.5443148643891,-37.9592875067789],[-69.4699130089203,-37.9595926835174],[-69.2381014854832,-37.9603251076899]]]]}"
LOS TOLDOS I SUR,LTS1,EXXONMOBIL EXPLORATION ARGENTINA S.R.L.,<br> EXXONMOBIL EXPLORATION ARGENTINA S.R.L.: 80.00 %<br> GAS Y PETROLEO DEL NEUQUEN S.A.: 10.00 %<br> TECPETROL S.A.: 10.00 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.3525489895922,-37.6772802308276],[-69.3162948091273,-37.6773830300846],[-69.316371340216,-37.6954023067327],[-69.2880252846743,-37.6954749493819],[-69.2879556103313,-37.6774556258236],[-69.241589642473,-37.677559715685],[-69.2418069955191,-37.7444789497467],[-69.2827658074318,-37.7443878075174],[-69.282867264428,-37.7710380761771],[-69.2942483735096,-37.7709921881998],[-69.3737089779461,-37.7707624818673],[-69.4687744421537,-37.7704312292743],[-69.5100586841342,-37.7702737179063],[-69.5096555270103,-37.711496835329],[-69.5096030161916,-37.7114799259567],[-69.4071965836588,-37.7118780765334],[-69.4070064237279,-37.6770980257754],[-69.3525489895922,-37.6772802308276]]]]}"
PAMPA DE LAS YEGUAS I,PDYI,EXXONMOBIL EXPLORATION ARGENTINA S.R.L.,<br> EXXONMOBIL EXPLORATION ARGENTINA S.R.L.: 50 %<br> YPF S.A.: 50 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.2942483735096,-37.7709921881998],[-69.2946420489665,-37.8700916457687],[-69.3287374203646,-37.8700058899569],[-69.3286174115793,-37.842977790044],[-69.3513421018012,-37.8429121863101],[-69.3512139659651,-37.8158840251571],[-69.3739274534903,-37.8158141132594],[-69.3737089779461,-37.7707624818673],[-69.2942483735096,-37.7709921881998]]]]}"
MATAMAGALLANES OESTE,MMO,SELVA MARIA OIL S.A.,<br> PETROMINERA CHUBUT S.E.SELVA MARIA OIL S.A.AREAS CAÑADON RAMIREZ Y MATA MAGALLANES OESTE UTE: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-70.0031989619999,-45.938972545],[-69.9116597029999,-45.9397395309999],[-69.912663876,-46.000907936],[-70.0043039239999,-46.00013932],[-70.0031989619999,-45.938972545]]]]}"
MESETA ESPINOSA (CGSJ-10),ESI,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.","<br> SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.: 100 %","{""type"":""MultiPolygon"",""coordinates"":[[[[-67.8303696999999,-46.4975019059999],[-67.8300802869999,-46.5109930099999],[-67.7792753699999,-46.5104620259999],[-67.7785497489999,-46.5428399439999],[-67.802011923,-46.5430880949999],[-67.8016160079999,-46.5610758989999],[-67.951023958,-46.5625436609999],[-67.9737377859999,-46.5627497049999],[-67.9753896959999,-46.56164322],[-67.9816757099999,-46.5574320829999],[-68.0103485049999,-46.5576747559999],[-68.0101521999999,-46.5684681689999],[-68.0505815669999,-46.5688108759999],[-68.0502046619999,-46.5903978949999],[-68.0906507969999,-46.5907265629999],[-68.0921666199999,-46.4998795899999],[-67.8303696999999,-46.4975019059999]]]]}"
CAÑADON LEON,CLE,"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.","<br> SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.: 100 %","{""type"":""MultiPolygon"",""coordinates"":[[[[-67.1783787119999,-46.6936978849999],[-67.1290086199999,-46.7176037919999],[-67.1260588599999,-46.7223717339999],[-67.5024103369999,-46.7936540299999],[-67.5049853289999,-46.7006183919999],[-67.4887280109999,-46.7007736179999],[-67.4860398639999,-46.6027548309999],[-67.3817541889999,-46.6040616989999],[-67.2906020409999,-46.6370553879999],[-67.1783787119999,-46.6936978849999]]]]}"
LOS TOLDOS I NORTE,LTN1,TECPETROL S.A.,<br> TECPETROL S.A.: 90.00 %<br> GAS Y PETROLEO DEL NEUQUEN S.A.: 10.00 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.4115704103851,-37.5370424128272],[-69.4108383759022,-37.6097925790137],[-69.3805831040779,-37.6107950101695],[-69.3807318185531,-37.6399572051348],[-69.3523702713361,-37.6400453214048],[-69.3525462658901,-37.6772733840668],[-69.4070064238529,-37.6770980182798],[-69.4071965837195,-37.7118780572613],[-69.5096030124975,-37.7114799067008],[-69.5085216069338,-37.5457931864277],[-69.5267165654078,-37.5457134263143],[-69.526631353791,-37.5335990542962],[-69.4615305603584,-37.5338714246521],[-69.4615489645791,-37.5368576505967],[-69.4115704103851,-37.5370424128272]]]]}"
LOS TOLDOS II ESTE,LTE2,TECPETROL S.A.,<br> GAS Y PETROLEO DEL NEUQUEN S.A.: 10.00 %<br> TECPETROL S.A.: 90.00 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.1686469887205,-37.3612979497959],[-69.1688591934597,-37.4559046808468],[-69.0986719830389,-37.4559841238005],[-69.0987318758061,-37.5015210093089],[-69.1689616886711,-37.5014414363092],[-69.1690191776639,-37.5269378102715],[-69.2068813212593,-37.5268775561231],[-69.2067610210747,-37.4832691710048],[-69.1984158779636,-37.4832834801139],[-69.1981782896693,-37.3932384705771],[-69.1817053697796,-37.393264930629],[-69.1816282215606,-37.3612787293217],[-69.1686469887205,-37.3612979497959]]]]}"
JARILLA QUEMADA,AAMA,VISTA OIL & GAS ARGENTINA SAU,<br> VISTA OIL & GAS ARGENTINA SAU: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.9526181855253,-38.3685529971097],[-67.9522958911815,-38.3908998636249],[-67.8830517415417,-38.3902773638885],[-67.8822869399318,-38.4410777796098],[-67.9359978301802,-38.4415778604522],[-67.9353634656006,-38.4847395196589],[-67.7986712866086,-38.4834172213395],[-67.7979743639222,-38.5253516360632],[-67.9671140640677,-38.5269659279445],[-67.9683534469026,-38.4424978045136],[-68.0319550864077,-38.4430167301178],[-68.0837851206806,-38.3695916122407],[-67.9526181855253,-38.3685529971097]]]]}"
ENTRE LOMAS,ELO,VISTA OIL & GAS ARGENTINA SAU,<br> VISTA OIL & GAS ARGENTINA SAU: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.1245536354981,-38.3104706939164],[-68.5414627736254,-37.9204974726076],[-68.4094803888374,-37.8563933184289],[-68.0159546561408,-38.2244788503865],[-68.1245536354981,-38.3104706939164]]]]}"
CHARCO DEL PALENQUE,CHDP,VISTA OIL & GAS ARGENTINA SAU,<br> VISTA OIL & GAS ARGENTINA SAU: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.2558764600741,-38.2072676382527],[-68.2445230165694,-38.1995548123463],[-68.1256164451473,-38.3103274956923],[-68.0840306961559,-38.349198344284],[-68.0837851206806,-38.3695916122407],[-68.0319550864077,-38.4430167301178],[-68.1286311819611,-38.4437665968605],[-68.1314941981469,-38.4438148794169],[-68.1329700342031,-38.3222115052394],[-68.218693649503,-38.3228139062319],[-68.2176927681598,-38.4169013436333],[-68.2561537801261,-38.3968196036375],[-68.2560255770288,-38.3095384636394],[-68.2558764600741,-38.2072676382527]]]]}"
JAGÜEL DE LOS MACHOS RN,JMRN,VISTA OIL & GAS ARGENTINA SAU,<br> VISTA OIL & GAS ARGENTINA SAU: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.5979122546136,-38.2359840986798],[-67.7348211143932,-38.237539992368],[-67.735038313869,-38.2222163323072],[-67.8321394794003,-38.2232348794726],[-67.8339685980093,-38.1084895347408],[-67.7564125139847,-38.1098466662673],[-67.7566561130781,-38.0954358301264],[-67.7342654044784,-38.095196751769],[-67.7348243628053,-38.096708733669],[-67.7335733977647,-38.0992873498046],[-67.7308836431835,-38.1022079420804],[-67.7283036977088,-38.1040891022541],[-67.7258743622136,-38.106235519366],[-67.7252049922425,-38.1078669301027],[-67.723992682669,-38.1085152021243],[-67.7228624395068,-38.1094967299763],[-67.7224162895908,-38.1111326100608],[-67.7217619384514,-38.1131254083176],[-67.7213157888849,-38.114315138454],[-67.7201260584097,-38.1155643561614],[-67.7196977559731,-38.1170098786331],[-67.7194479121268,-38.1187587822554],[-67.7192916994726,-38.1198835055169],[-67.7184759927217,-38.1204778113815],[-67.7162460628279,-38.1210200931809],[-67.7142754405758,-38.1217786783416],[-67.7112387722544,-38.1224707415483],[-67.7103821655723,-38.1232916553853],[-67.7090292827215,-38.1237981674008],[-67.7063417123184,-38.1233748893752],[-67.6984434233043,-38.1265763784375],[-67.6916049369803,-38.1314674652471],[-67.6836361838182,-38.1394105825969],[-67.668165338387,-38.1765962823035],[-67.6660532977503,-38.1816818887271],[-67.6627959704293,-38.189525245297],[-67.6524770152981,-38.2004904277773],[-67.6398321130482,-38.2145262391556],[-67.6245128780734,-38.225907495337],[-67.5979122546136,-38.2359840986798]]]]}"
25 DE MAYO - MEDANITO SUD ESTE RN,VERN,VISTA OIL & GAS ARGENTINA SAU,<br> VISTA OIL & GAS ARGENTINA SAU: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.7575728794974,-38.0564194109278],[-67.7561150191796,-38.0554601040738],[-67.755172049663,-38.0550711338181],[-67.7545504819013,-38.0549286888652],[-67.754081150673,-38.0548736623341],[-67.7533211636187,-38.0548942062082],[-67.7507086063731,-38.0551042141224],[-67.7453939881164,-38.0632630606869],[-67.7453072344275,-38.0644730353967],[-67.7453422018801,-38.0661323555633],[-67.7466096682248,-38.0692421146267],[-67.7474299949927,-38.0709956143227],[-67.7474622161281,-38.0728193743235],[-67.7472148945501,-38.0740609512048],[-67.7454683013657,-38.0751649682432],[-67.7427935197196,-38.0757236298438],[-67.7422039971827,-38.0759890493711],[-67.7401003497545,-38.0769551053777],[-67.7377406124547,-38.0774064922801],[-67.7349316921228,-38.0772433276184],[-67.7330151780141,-38.0769027646665],[-67.7301416651737,-38.0774199596153],[-67.7293603333684,-38.0790084841522],[-67.7306272012914,-38.0842182939455],[-67.7261744122492,-38.0927507647517],[-67.7266328565267,-38.0942236157781],[-67.72709384409,-38.0947932077842],[-67.7277864411845,-38.0951155512985],[-67.7316501416702,-38.0951573420374],[-67.7341731089101,-38.095192478307],[-67.7565638154167,-38.0954315742281],[-67.7563201982302,-38.1098424098747],[-67.8338762778583,-38.1084853392535],[-67.9182237830114,-38.1070058737165],[-67.9193898800464,-38.0367266661687],[-67.9249892187311,-38.0367784989155],[-67.9259491633795,-37.9799739433878],[-67.8867401816602,-37.9255665907028],[-67.8434384497826,-37.9250967817972],[-67.8439457232596,-37.9264755874803],[-67.845293990914,-37.9274766393489],[-67.8472072184028,-37.9276636433015],[-67.8501330809219,-37.9264736286452],[-67.8521384425308,-37.9259837237865],[-67.8531947002198,-37.9267567839541],[-67.8532649729974,-37.9280446268261],[-67.8535638747749,-37.9291440064141],[-67.8554447638032,-37.9310811365102],[-67.8577488990906,-37.9322657848433],[-67.8627684880218,-37.9363189223396],[-67.8668037527648,-37.9390212915883],[-67.8707698182964,-37.9394646409023],[-67.8727994043367,-37.9405805707996],[-67.8730850535575,-37.9415844292282],[-67.8725301465812,-37.9455568001882],[-67.8722838322048,-37.9506821885401],[-67.8730144264162,-37.9521193626801],[-67.8758207837238,-37.9536478943058],[-67.8809216158993,-37.9527669158583],[-67.8831406157664,-37.9533362367418],[-67.8844676281806,-37.9555961847415],[-67.88427914137,-37.9596496679713],[-67.8848585502226,-37.9612637698204],[-67.8868024042464,-37.9629268787327],[-67.8888441177362,-37.9664930069862],[-67.8904385447159,-37.9685818045732],[-67.8910419273533,-37.9705039233941],[-67.8934680942345,-37.9725576133697],[-67.8957923672733,-37.9729799040136],[-67.8983720311089,-37.974448564885],[-67.898756223031,-37.9777558547198],[-67.900692292871,-37.9798838854057],[-67.9019634195337,-37.9819905367186],[-67.9016385971331,-37.9831745436861],[-67.9016260195858,-37.9840182245871],[-67.902230921568,-37.9846531467682],[-67.9040097824582,-37.9853276142441],[-67.9055328165762,-37.9866518323945],[-67.9057147201164,-37.9873314241305],[-67.904979467238,-37.9881683794561],[-67.9027056685492,-37.9879612638632],[-67.8992100111532,-37.9885006627035],[-67.898807494667,-37.990041474633],[-67.9006696792004,-37.9924043690246],[-67.9002850796624,-37.9963766330146],[-67.8997899486878,-37.9972706631767],[-67.8986462329041,-37.9984088142161],[-67.8971146608583,-37.9981999580793],[-67.8922355042832,-37.9987146412464],[-67.8891160153603,-37.9994384326477],[-67.8881108777882,-38.0005730625753],[-67.888379617988,-38.001128599876],[-67.8893849847233,-38.0015766824258],[-67.8910918229155,-38.0034520016234],[-67.8927916496619,-38.0060342131758],[-67.8929036167886,-38.0083981236887],[-67.8936812059335,-38.0099502574421],[-67.8952645730502,-38.0126274129679],[-67.8926740061253,-38.014420753903],[-67.8913938595011,-38.0155136077191],[-67.8900937021593,-38.0157074039765],[-67.8865906478416,-38.0146742913915],[-67.8852164598723,-38.014951319539],[-67.8844789641827,-38.0159224224969],[-67.883359866162,-38.0193846998086],[-67.8812755056887,-38.021719876582],[-67.880678071621,-38.0229631941043],[-67.8814682272323,-38.0250968796298],[-67.8803992403772,-38.0268812871228],[-67.8785974218964,-38.0295888217526],[-67.8759724049792,-38.0339471739209],[-67.8747356591361,-38.035007956663],[-67.8727432344417,-38.035525175599],[-67.8676882885582,-38.036177369414],[-67.8661669591107,-38.0386797715215],[-67.8650853444556,-38.0402456784904],[-67.8620936092848,-38.0417362904878],[-67.8615837139105,-38.0430363643283],[-67.8620308631986,-38.0448164627468],[-67.8595898424427,-38.0457641149249],[-67.8590392055117,-38.0458004848463],[-67.8579569773196,-38.0456171649668],[-67.8553616041522,-38.0457051410251],[-67.8547472866916,-38.0462497635737],[-67.8544770918468,-38.0473411937162],[-67.8540528538516,-38.0484525739138],[-67.8520970351085,-38.0497778279912],[-67.8501637269778,-38.0496236962478],[-67.8478159098182,-38.049833667116],[-67.8460870099132,-38.0509036174769],[-67.844310139187,-38.0519540022737],[-67.8448311294712,-38.0540948073972],[-67.8486158921652,-38.0562986128817],[-67.8499425475478,-38.0582471188021],[-67.8509066090136,-38.0610125129032],[-67.8514402447735,-38.0635983020442],[-67.8501579625459,-38.0656443419945],[-67.8478852898607,-38.0665845473962],[-67.8469465425883,-38.0666269511688],[-67.8448156370093,-38.0652904413345],[-67.8437102132699,-38.0636931881231],[-67.842049415245,-38.0618256253573],[-67.8405251062394,-38.0589601839366],[-67.8383688041168,-38.0562800174107],[-67.8370719209559,-38.055844109009],[-67.8361157197801,-38.0557869725188],[-67.8346725518729,-38.0560229477517],[-67.8334796102036,-38.0566368017883],[-67.8323212564483,-38.0579183861974],[-67.8319582594591,-38.0598931423716],[-67.8284759970853,-38.0638643248741],[-67.8256086210586,-38.0659229822501],[-67.8244913194472,-38.0657591572375],[-67.8221018090621,-38.0637430383055],[-67.8196134447231,-38.0620705749413],[-67.8189165616659,-38.0616695370706],[-67.8179447420172,-38.0617916115696],[-67.8167150371393,-38.0623879763283],[-67.815330600411,-38.0637374289423],[-67.8139904946502,-38.0653256676034],[-67.8135184835031,-38.0672495867395],[-67.8133966552079,-38.067746140951],[-67.8125714113718,-38.0699306824144],[-67.8113701902904,-38.0714964573414],[-67.8103050324913,-38.0724772394564],[-67.8099637572675,-38.0726978388525],[-67.8095627444483,-38.0726043937761],[-67.8085403558384,-38.0719820383826],[-67.8079336526924,-38.0710802782113],[-67.8076275685961,-38.0702145075447],[-67.8080958143163,-38.0685195955642],[-67.808327135718,-38.0663409826462],[-67.8075441728591,-38.0653557802321],[-67.8069762767406,-38.065052071286],[-67.8059653072124,-38.0648942063553],[-67.8049564492314,-38.0650434678118],[-67.8041245854306,-38.0652137733495],[-67.802669913631,-38.0656756748259],[-67.8008689542979,-38.0661101892058],[-67.7973781366453,-38.0666346559662],[-67.7958728737754,-38.0665000648269],[-67.7946432158738,-38.0661060901406],[-67.7940041173449,-38.0655513148435],[-67.7934441050072,-38.0647709104749],[-67.7928678593744,-38.0640618424329],[-67.7922139153685,-38.0634949873085],[-67.7918711906406,-38.0632531085962],[-67.7915263108884,-38.0631423024161],[-67.791208830776,-38.0631986265027],[-67.7904188382515,-38.0635718688304],[-67.7888699556862,-38.0642590670407],[-67.7874450338819,-38.0638272511916],[-67.7870066611368,-38.0629884823819],[-67.7872801836027,-38.0619425390005],[-67.787616074769,-38.0616838131147],[-67.7889682060149,-38.0610422741851],[-67.7891495695325,-38.0602814038411],[-67.788698489382,-38.0598477147606],[-67.7882553830524,-38.059661996275],[-67.7860993082022,-38.0595158016532],[-67.7856062520792,-38.0594344340454],[-67.7849294351893,-38.0587981792875],[-67.7847044639751,-38.0585479631763],[-67.7845656213344,-38.0581937606087],[-67.7844598826865,-38.0572964477086],[-67.785005525044,-38.0548887784726],[-67.7851325860325,-38.0538043347908],[-67.785036063604,-38.0530787340804],[-67.7846240538167,-38.0524738169952],[-67.7836689343014,-38.0519014159849],[-67.7821636075047,-38.051790486531],[-67.7813621130979,-38.0521349463945],[-67.7808186525189,-38.0526507585918],[-67.7806074450265,-38.0532902973548],[-67.7802853317814,-38.0545359407383],[-67.7786853556259,-38.0554402292985],[-67.7723262936557,-38.0571560868831],[-67.7705219917528,-38.0590536061891],[-67.769664191922,-38.0601934496712],[-67.768860250086,-38.0612147268937],[-67.7674283373399,-38.0619290867163],[-67.7659911978258,-38.0624145522424],[-67.7653382648606,-38.0635947042368],[-67.765299359859,-38.0642950607881],[-67.7664295890441,-38.0662084537731],[-67.7667698384847,-38.0672136681844],[-67.7661978671256,-38.0678798270726],[-67.7649109732149,-38.0685670733365],[-67.7633393583559,-38.0689724349582],[-67.7623002327217,-38.06891803957],[-67.7590914977819,-38.0677048964803],[-67.7569586715045,-38.0665311014522],[-67.7561764693501,-38.065185652683],[-67.7560781232765,-38.0645839570752],[-67.7563486677504,-38.0630279767611],[-67.7574356874076,-38.061323317139],[-67.7583467636946,-38.0593236100632],[-67.7583702020673,-38.0579366290051],[-67.7575728794974,-38.0564194109278]]]]}"
COIRON AMARGO NORTE,Z038,VISTA OIL & GAS ARGENTINA SAU,<br> GAS Y PETROLEO DEL NEUQUEN S.A.: 10.00 %<br> VISTA OIL & GAS ARGENTINA SAU: 55.00 %<br> MADALENA ENERGY ARGENTINA SRL : 35.00 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.2558764600741,-38.2072676382527],[-68.2560255770288,-38.3095384636394],[-68.3307908153216,-38.3100083240608],[-68.3309732558555,-38.2802625874672],[-68.3809220655803,-38.2805448732605],[-68.3766261392875,-38.2471908183107],[-68.4567034995919,-38.2318318071654],[-68.4696408414957,-38.2539380632396],[-68.489541827412,-38.2414091224631],[-68.4659490263523,-38.2242087577798],[-68.2791846780606,-38.2232104487745],[-68.2558764600741,-38.2072676382527]]]]}"
BAJADA DEL PALO ESTE,BAPE,VISTA OIL & GAS ARGENTINA SAU,<br> VISTA OIL & GAS ARGENTINA SAU: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.3470586398704,-38.1035639872121],[-68.2445230165694,-38.1995548123463],[-68.2558764600741,-38.2072676382527],[-68.2791846780606,-38.2232104487745],[-68.4659490263523,-38.2242087577798],[-68.4666586246344,-38.1269155183154],[-68.42896691411,-38.1267383526456],[-68.4291440110949,-38.1039914627844],[-68.3470586398704,-38.1035639872121]]]]}"
BAJADA DEL PALO OESTE,BAPO,VISTA OIL & GAS ARGENTINA SAU,<br> VISTA OIL & GAS ARGENTINA SAU: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4666586246344,-38.1269155183154],[-68.4659490263523,-38.2242087577798],[-68.4982771919301,-38.2477744002736],[-68.6850532903089,-38.2484242588731],[-68.6855726607069,-38.1277054055267],[-68.4666586246344,-38.1269155183154]]]]}"
SIERRAS BLANCAS,SBLA,SHELL ARGENTINA S.A.,<br> SHELL ARGENTINA S.A.: 90.00 %<br> GAS Y PETROLEO DEL NEUQUEN S.A.: 10.00 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.5060676737235,-38.5330530169603],[-68.5066491381702,-38.4459901226228],[-68.503799733761,-38.4459885402838],[-68.3871881149876,-38.4454405383385],[-68.3863807024857,-38.4454364117523],[-68.3850656063505,-38.6012257039192],[-68.3377712538503,-38.6009685272909],[-68.3376955463953,-38.6342993744315],[-68.3918116759042,-38.6345905086628],[-68.4251728591358,-38.6099937379198],[-68.4255614047121,-38.5615283356756],[-68.43105689904,-38.5605884142421],[-68.4490772272173,-38.5620331788557],[-68.4527301727009,-38.5606917454423],[-68.4552007868988,-38.5591301888676],[-68.4578372330555,-38.5574329459069],[-68.4575958159966,-38.5554946230534],[-68.4584389413408,-38.5523523633143],[-68.4597265397879,-38.5506422217643],[-68.4591904049021,-38.5492811751888],[-68.4594240707092,-38.5482043843034],[-68.46094377515,-38.5479134597643],[-68.4624590303702,-38.5482183585266],[-68.464297702532,-38.5481605955274],[-68.4660376768459,-38.5468099722197],[-68.4675055041509,-38.5453150763573],[-68.4692421954448,-38.5443934122113],[-68.4780412292777,-38.5444157414735],[-68.4818454293998,-38.5429429751342],[-68.4837421483111,-38.5429513540251],[-68.4848716780455,-38.5441480616696],[-68.4860054876175,-38.5447489100522],[-68.4875229004764,-38.5447555619651],[-68.4898053361045,-38.543871731996],[-68.4905724410991,-38.5426833404472],[-68.4924754359567,-38.541797805353],[-68.4970378712301,-38.5403278279138],[-68.4996970940257,-38.5378776460538],[-68.5012201705526,-38.5368196299748],[-68.5037796284774,-38.5351305853443],[-68.5060676737235,-38.5330530169603]]]]}"
CRUZ DE LORENA,CDLO,SHELL ARGENTINA S.A.,<br> GAS Y PETROLEO DEL NEUQUEN S.A.: 10.00 %<br> SHELL ARGENTINA S.A.: 90.00 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.5943224864549,-38.3176099100349],[-68.5001047096869,-38.24823264077],[-68.489542676077,-38.2413918123111],[-68.4696787119449,-38.2539431156041],[-68.3809230705591,-38.2805437509145],[-68.5042874906023,-38.3735908571207],[-68.503799733761,-38.4459885402838],[-68.5066491381702,-38.4459901226227],[-68.5681455568168,-38.407229012153],[-68.5151011082255,-38.3667524071222],[-68.5943224864549,-38.3176099100349]]]]}"
AGUADA DEL CHAÑAR,AGUH,YPF S.A.,<br> YPF S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.5977993,-38.040960399],[-68.559678264,-38.0754425979999],[-68.5127218339999,-38.075602074],[-68.484726538,-38.1032756499999],[-68.484126917,-38.1269164359999],[-68.484125321,-38.126979374],[-68.5430261989999,-38.1272214379999],[-68.543031172,-38.127216506],[-68.543109601,-38.1271387199999],[-68.611796769,-38.0590146169999],[-68.6407439079999,-38.077151253],[-68.640743991,-38.077109556],[-68.640816007,-38.041097892],[-68.5977993,-38.040960399]]]]}"
LOMA AMARILLA SUR,LOAS,YPF S.A.,<br> YPF S.A.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.646899526,-37.8208921],[-68.646910567,-37.860898893],[-68.6579797329999,-37.937507045],[-68.805822323,-37.937825871],[-68.806068811,-37.821263685],[-68.646899526,-37.8208921]]]]}"
CERRO NEGRO,CENE,ROCH S.A.,<br> PETROMINERA CHUBUT S.E.: 100 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.0011477327772,-45.6716068395577],[-68.7906156233697,-45.6742131139574],[-68.792970827411,-45.7767670352331],[-69.0011498360366,-45.7742284764067],[-69.0011477327772,-45.6716068395577]]]]}"
BANDURRIA NORTE,BNDN,WINTERSHALL DEA ARGENTINA S.A,<br> WINTERSHALL DEA ARGENTINA S.A: 50.00 %<br> CONOCOPHILLIPS ARGENTINA VENTURES S.R.L.: 50.00 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.9023521519999,-38.0641095949999],[-68.902303758,-38.100488745],[-68.9414520939999,-38.1005147719999],[-68.9414001819999,-38.1654700999999],[-69.0340054119999,-38.1654803599999],[-69.0339717209999,-38.064153666],[-68.9023521519999,-38.0641095949999]]]]}"
AGUADA FEDERAL,AFED,WINTERSHALL DEA ARGENTINA S.A,<br> CONOCOPHILLIPS ARGENTINA VENTURES S.R.L.: 45.00 %<br> GAS Y PETROLEO DEL NEUQUEN S.A.: 10.00 %<br> WINTERSHALL DEA ARGENTINA S.A: 45.00 %,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.640595436,-38.0418928829999],[-68.640522813,-38.0779467519999],[-68.770720658,-38.159318549],[-68.77115106,-38.0422084319999],[-68.640595436,-38.0418928829999]]]]}"
